Student_ID,Age,Gender,Ethnicity,Socioeconomic_Status,Parental_Education_Level,Disability_Status,GPA,Past_Academic_Performance,Current_Semester_Performance,Courses_Failed,Credits_Completed,Study_Hours_per_Week,Attendance_Rate,Number_of_Late_Submissions,Class_Participation_Score,Online_Learning_Hours,Library_Usage_Hours,Disciplinary_Actions,Social_Engagement_Score,Mental_Health_Score,Extracurricular_Activities,Dropout_Risk
1,24,Female,Hispanic,Medium,Master’s,0,3.26,Above Average,90,4,98,8,62.15009570643929,3,9.4650242140321,15.168494514150836,5.803625365265236,1,8.128233946689951,1.7038509121998524,2,0
2,21,Female,Asian,Low,High School,0,2.04,Below Average,78,2,24,9,89.77309606107337,1,2.4652129583936833,4.112098380782667,10.24241466852819,0,5.869193565900861,2.0945708772691867,3,0
3,28,Male,Black,Medium,Bachelor’s,0,2.42,Average,96,3,13,27,52.48123138717627,1,8.030945758806354,10.885027545511477,13.46110453788538,1,7.606479395780257,7.9598758888277015,0,0
4,25,Female,Black,Medium,Bachelor’s,0,2.48,Average,52,1,65,20,92.7544331953018,1,6.120496214481532,16.085621871243465,4.988602378149355,0,1.8188069815158736,1.6098155450074174,1,0
5,22,Male,Other,Medium,Bachelor’s,0,3.94,Below Average,50,4,73,26,82.90812382631668,0,3.768950168852138,10.740181713651108,14.173335393224304,1,1.695860008207134,9.170435304363568,3,0
6,24,Female,White,Medium,Bachelor’s,0,3.89,Average,68,3,77,12,71.72116296816024,9,0.013679843635368005,18.15925437042101,0.20372381848154597,2,8.62800034128727,3.5348510016566683,4,0
7,27,Male,Black,High,High School,0,3.5,Below Average,95,0,103,37,67.32164244854579,1,4.465993013486268,1.1700246574927164,5.236238073978558,0,4.981484372345669,9.089911365213922,2,0
8,20,Male,White,High,High School,0,2.1,Average,98,3,43,20,50.9624481924447,5,2.767199975422993,11.766276909829436,1.9814760259311033,2,2.459372142528491,7.961561639208515,3,0
9,24,Female,Hispanic,Medium,Bachelor’s,1,1.67,Above Average,71,2,100,9,91.26074728759215,2,1.043466133255606,11.235109050887802,1.8992974356753551,0,6.887303576063237,8.840809326625209,4,0
10,28,Other,Asian,Medium,Bachelor’s,0,2.29,Below Average,63,1,104,20,57.13609269842691,9,0.7515856533808485,13.207066570853694,12.231442410173525,2,8.91875166934221,2.9263572259296917,1,0
11,28,Female,Other,Medium,High School,0,2.17,Above Average,98,1,65,11,65.4770995931044,4,3.47558327311602,16.668136773606154,13.775524721251845,2,6.323226459442498,6.3612414623221145,2,0
12,25,Female,White,Low,Bachelor’s,0,2.76,Below Average,63,3,41,5,78.4553490181402,0,6.147573887406486,14.5170616867679,11.666373813494785,1,3.473450429400172,1.8423021886518032,0,0
13,22,Female,Black,Medium,Bachelor’s,0,3.44,Average,93,0,117,13,62.29963000356271,7,8.375193153647736,15.805654707456835,14.649235784888397,0,4.832377652930146,2.8205269078543838,0,0
14,21,Male,White,Low,Bachelor’s,0,3.65,Below Average,65,2,112,22,74.85702318761007,3,1.835632449473269,5.77633451435243,3.244934552494061,1,7.522694609453396,3.789120046035416,4,0
15,25,Other,Black,Medium,Master’s,1,3.61,Above Average,82,3,18,7,90.46714143693512,8,4.2464397130904965,7.749947571379292,2.111998683145357,2,0.6750122887238752,7.667313323590208,3,0
16,25,Female,White,Medium,High School,0,2.4,Average,62,3,72,28,73.52689673951375,3,3.9195614014215217,12.535539480924607,7.810556730594203,0,2.171645159564423,1.2224294144963497,1,0
17,20,Female,Black,Low,High School,1,3.22,Average,87,1,114,32,97.44886720597981,1,5.133940092085156,11.069229438498704,12.43556422113927,2,4.625831866494472,9.128055545849229,4,0
18,23,Female,Hispanic,High,Bachelor’s,1,2.28,Above Average,98,2,81,14,92.37503101881708,2,8.095872708095529,19.22207749941073,0.5975863625708955,2,6.0424096409709875,1.6372316234162954,1,0
19,22,Female,Black,High,Bachelor’s,0,1.65,Average,61,0,87,13,66.65196176816971,4,5.536452179992349,3.7366899986883872,14.93348491499823,2,3.3916559104232444,4.388411758101644,1,0
20,19,Female,Black,Medium,Bachelor’s,0,3.25,Above Average,87,1,42,17,69.99810622919689,9,8.466549135022941,7.025567449022834,9.033688938079843,2,2.983909218698807,1.7298066549572573,1,0
21,25,Male,Asian,Medium,Master’s,0,1.52,Average,88,3,96,39,71.16633635112636,5,5.185517560689777,11.455104665697096,14.684127182720662,1,0.41384195699721293,7.920710587930364,2,0
22,29,Female,Black,High,Master’s,0,2.52,Above Average,82,1,30,27,81.30897264622574,6,6.038473651812715,17.35927539872304,5.476224498506655,2,0.3260177205144754,2.2718347606248113,4,0
23,23,Male,Asian,Low,PhD,0,2.32,Average,82,1,64,21,64.33978645942699,3,4.373832424929898,18.586970493819834,6.870357308003839,1,2.786948543028256,8.962812192362119,2,0
24,19,Other,Other,Medium,Bachelor’s,0,3.23,Below Average,78,4,85,11,98.46245694112542,6,8.230955802956338,6.720726616551971,11.285421635960882,2,5.30506100089543,5.7719978793237345,3,0
25,29,Female,Asian,Low,Bachelor’s,0,3.42,Average,54,1,66,20,80.43421103017505,9,9.238272063646527,1.3421692305270327,11.89050675841978,0,5.563714964454115,9.536255375098564,3,0
26,22,Male,Hispanic,Medium,Bachelor’s,0,2.26,Below Average,55,1,11,24,69.97008293705667,2,6.3914473812314565,8.432393958443702,3.495495800253604,2,4.940274928668689,3.613248215273758,0,0
27,18,Female,Asian,Low,High School,0,3.53,Average,80,2,22,28,82.25049077457837,6,8.207824491729038,7.886882864670142,13.94701629461584,2,4.098806840028343,5.088845366905519,0,0
28,29,Female,Other,High,Bachelor’s,0,2.23,Average,65,1,13,9,69.77025052648538,3,0.5900333399910029,19.72974135859379,13.011346827520928,0,2.5229158926132076,7.248222660966201,0,0
